
             | 实际值 
      预测值 |         1 |         2 |         3 |         4 |         5 |         6 |         7 |         8 |         9 |        10 |        11 |        12 |        13 |        14 |        15 |        16 |        17 |        18 | Row Total | 
             |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.937 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.006 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
           9 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |       177 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |       177 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     1.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.062 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.967 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          10 |         0 |         0 |         0 |         0 |         0 |         1 |         0 |         5 |         0 |       145 |         2 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |       153 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.007 |     0.000 |     0.033 |     0.000 |     0.948 |     0.013 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.053 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.000 |     0.026 |     0.000 |     0.973 |     0.010 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          11 |         0 |         0 |         0 |         0 |         0 |         0 |         1 |         0 |         0 |         0 |       192 |         0 |         0 |         0 |         0 |         0 |         0 |         1 |       194 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.000 |     0.000 |     0.000 |     0.990 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.068 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.004 |     0.000 |     0.000 |     0.000 |     0.985 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          12 |         1 |         0 |         0 |         0 |         0 |         0 |         0 |         1 |         2 |         0 |         0 |       211 |         0 |         0 |         0 |         1 |         0 |         1 |       217 | 
             |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.009 |     0.000 |     0.000 |     0.972 |     0.000 |     0.000 |     0.000 |     0.005 |     0.000 |     0.005 |     0.076 | 
             |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.011 |     0.000 |     0.000 |     1.000 |     0.000 |     0.000 |     0.000 |     0.006 |     0.000 |     0.005 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          13 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |        31 |         0 |         0 |         0 |         0 |         1 |        32 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.969 |     0.000 |     0.000 |     0.000 |     0.000 |     0.031 |     0.011 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.969 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          14 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |       165 |         3 |         0 |         0 |         0 |       168 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.982 |     0.018 |     0.000 |     0.000 |     0.000 |     0.058 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.988 |     0.016 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          15 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         2 |       185 |         0 |         0 |         0 |       187 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.011 |     0.989 |     0.000 |     0.000 |     0.000 |     0.065 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.012 |     0.984 |     0.000 |     0.000 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          16 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         1 |         0 |         0 |         0 |         0 |         0 |         0 |       175 |         6 |         0 |       182 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.962 |     0.033 |     0.000 |     0.063 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.967 |     0.031 |     0.000 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          17 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         1 |         0 |         0 |         0 |         0 |         0 |         0 |         0 |         3 |       188 |         1 |       193 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.016 |     0.974 |     0.005 |     0.067 | 
             |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.017 |     0.969 |     0.005 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
          18 |         0 |         0 |         1 |         0 |         0 |         0 |         0 |         0 |         0 |         2 |         0 |         0 |         0 |         0 |         0 |         1 |         0 |       191 |       195 | 
             |     0.000 |     0.000 |     0.005 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.010 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.005 |     0.000 |     0.979 |     0.068 | 
             |     0.000 |     0.000 |     0.006 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.013 |     0.000 |     0.000 |     0.000 |     0.000 |     0.000 |     0.006 |     0.000 |     0.970 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
Column Total |       183 |        77 |       179 |        66 |        42 |       191 |       247 |       190 |       183 |       149 |       195 |       211 |        32 |       167 |       188 |       181 |       194 |       197 |      2872 | 
             |     0.064 |     0.027 |     0.062 |     0.023 |     0.015 |     0.067 |     0.086 |     0.066 |     0.064 |     0.052 |     0.068 |     0.073 |     0.011 |     0.058 |     0.065 |     0.063 |     0.068 |     0.069 |           | 
-------------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|-----------|
